datetime,v,vw,o,c,h,l,t,n,datetime
2020-01-21 05:00:00,110643256.0,79.3365,79.2975,79.1425,79.755,79.0,1579582800000,208931,2020-01-21 05:00:00
2020-01-22 05:00:00,101832460.0,79.6217,79.645,79.425,79.9975,79.3275,1579669200000,208306,2020-01-22 05:00:00
2020-01-23 05:00:00,104471972.0,79.5524,79.48,79.8075,79.89,78.9125,1579755600000,197084,2020-01-23 05:00:00
2020-01-24 05:00:00,146537520.0,80.1019,80.0625,79.5775,80.8325,79.3797,1579842000000,296490,2020-01-24 05:00:00
2020-01-27 05:00:00,161908020.0,77.4235,77.515,77.2375,77.9425,76.22,1580101200000,380394,2020-01-27 05:00:00
2020-01-28 05:00:00,162233944.0,79.2654,78.15,79.4225,79.6,78.0475,1580187600000,353618,2020-01-28 05:00:00
2020-01-29 05:00:00,216599620.0,81.365,81.1125,81.085,81.9625,80.345,1580274000000,464161,2020-01-29 05:00:00
2020-01-30 05:00:00,126551232.0,80.4192,80.1359,80.9675,81.0225,79.6875,1580360400000,280545,2020-01-30 05:00:00
2020-01-31 05:00:00,199588384.0,78.5039,80.2325,77.3775,80.67,77.0725,1580446800000,484153,2020-01-31 05:00:00
2020-02-03 05:00:00,173985604.0,77.2738,76.075,77.165,78.3725,75.555,1580706000000,405189,2020-02-03 05:00:00
2020-02-04 05:00:00,136616536.0,79.3666,78.8275,79.7125,79.91,78.4086,1580792400000,288064,2020-02-04 05:00:00
2020-02-05 05:00:00,118746872.0,80.3725,80.88,80.3625,81.19,79.7375,1580878800000,269725,2020-02-05 05:00:00
2020-02-06 05:00:00,105392140.0,80.8276,80.6425,81.3025,81.305,80.0662,1580965200000,215446,2020-02-06 05:00:00
2020-02-07 05:00:00,117684048.0,80.2554,80.5925,80.0075,80.85,79.5,1581051600000,261918,2020-02-07 05:00:00
2020-02-10 05:00:00,109346860.0,79.7929,78.545,80.3875,80.3875,78.4625,1581310800000,234127,2020-02-10 05:00:00
2020-02-11 05:00:00,94323120.0,80.3471,80.9,79.9025,80.975,79.6775,1581397200000,230343,2020-02-11 05:00:00
2020-02-12 05:00:00,113730292.0,81.1997,80.3675,81.8,81.805,80.3675,1581483600000,244871,2020-02-12 05:00:00
2020-02-13 05:00:00,94451512.0,81.2497,81.0475,81.2175,81.555,80.8375,1581570000000,216964,2020-02-13 05:00:00
2020-02-14 05:00:00,80113788.0,81.1569,81.185,81.2375,81.495,80.7125,1581656400000,176169,2020-02-14 05:00:00
2020-02-18 05:00:00,152762180.0,79.3387,78.84,79.75,79.9375,78.6525,1582002000000,365776,2020-02-18 05:00:00
2020-02-19 05:00:00,93983964.0,80.7971,80.0,80.905,81.1425,80.0,1582088400000,205432,2020-02-19 05:00:00
2020-02-20 05:00:00,100565956.0,80.2818,80.6575,80.075,81.1625,79.5525,1582174800000,243574,2020-02-20 05:00:00
2020-02-21 05:00:00,129705660.0,78.6341,79.655,78.2625,80.1125,77.625,1582261200000,323163,2020-02-21 05:00:00
2020-02-24 05:00:00,222149312.0,74.8699,74.315,74.545,76.045,72.3075,1582520400000,586879,2020-02-24 05:00:00
2020-02-25 05:00:00,230623456.0,73.3055,75.2375,72.02,75.6325,71.5325,1582606800000,624788,2020-02-25 05:00:00
2020-02-26 05:00:00,198153724.0,73.2211,71.6325,73.1625,74.47,71.625,1582693200000,494238,2020-02-26 05:00:00
2020-02-27 05:00:00,318605524.0,69.9545,70.275,68.38,71.5,68.24,1582779600000,811075,2020-02-27 05:00:00
2020-02-28 05:00:00,426884920.0,66.7569,64.315,68.34,69.6025,64.0925,1582866000000,1118286,2020-02-28 05:00:00
2020-03-02 05:00:00,341329356.0,72.1688,70.57,74.7025,75.36,69.43,1583125200000,850990,2020-03-02 05:00:00
2020-03-03 05:00:00,319474208.0,73.6107,75.9175,72.33,76.0,71.45,1583211600000,841732,2020-03-03 05:00:00
2020-03-04 05:00:00,219178272.0,74.5584,74.11,75.685,75.85,73.2825,1583298000000,506987,2020-03-04 05:00:00
2020-03-05 05:00:00,187572876.0,73.8242,73.88,73.23,74.8875,72.8525,1583384400000,433274,2020-03-05 05:00:00
2020-03-06 05:00:00,226176984.0,71.4465,70.5,72.2575,72.705,70.3075,1583470800000,551657,2020-03-06 05:00:00
2020-03-09 05:00:00,286744832.0,67.8998,65.9375,66.5425,69.5225,65.75,1583726400000,733182,2020-03-09 05:00:00
2020-03-10 05:00:00,285290080.0,69.4642,69.285,71.335,71.61,67.3425,1583812800000,696310,2020-03-10 05:00:00
2020-03-11 05:00:00,256379880.0,69.1036,69.3475,68.8575,70.305,67.965,1583899200000,587138,2020-03-11 05:00:00
2020-03-12 05:00:00,418474068.0,63.8272,63.985,62.0575,67.5,62.0,1583985600000,1085533,2020-03-12 05:00:00
2020-03-13 05:00:00,368732128.0,65.7384,66.2225,69.4925,69.98,63.2375,1584072000000,938015,2020-03-13 05:00:00
2020-03-16 05:00:00,322423460.0,62.6169,60.4875,60.5525,64.77,60.0,1584331200000,826388,2020-03-16 05:00:00
2020-03-17 05:00:00,323855860.0,62.4835,61.8775,63.215,64.4025,59.6,1584417600000,825893,2020-03-17 05:00:00
2020-03-18 05:00:00,300233624.0,60.792,59.9425,61.6675,62.5,59.28,1584504000000,757704,2020-03-18 05:00:00
2020-03-19 05:00:00,271857020.0,61.9001,61.8463,61.195,63.21,60.6525,1584590400000,662842,2020-03-19 05:00:00
2020-03-20 05:00:00,401693384.0,60.2126,61.795,57.31,62.9575,57.0,1584676800000,862652,2020-03-20 05:00:00
2020-03-23 05:00:00,336752832.0,55.3518,57.02,56.0925,57.1249,53.1525,1584936000000,838611,2020-03-23 05:00:00
2020-03-24 05:00:00,287531092.0,60.3309,59.09,61.72,61.9225,58.575,1585022400000,692491,2020-03-24 05:00:00
2020-03-25 05:00:00,303602040.0,62.931,62.6875,61.38,64.5625,61.075,1585108800000,755720,2020-03-25 05:00:00
2020-03-26 05:00:00,252560596.0,63.194,61.63,64.61,64.67,61.59,1585195200000,584615,2020-03-26 05:00:00
2020-03-27 05:00:00,204216612.0,62.7031,63.1875,61.935,63.9675,61.7625,1585281600000,490477,2020-03-27 05:00:00
2020-03-30 05:00:00,167976440.0,63.1713,62.685,63.7025,63.88,62.35,1585540800000,371745,2020-03-30 05:00:00
2020-03-31 05:00:00,197002004.0,64.1079,63.9,63.5725,65.6225,63.0,1585627200000,405381,2020-03-31 05:00:00
2020-04-01 05:00:00,176046552.0,60.9782,61.625,60.2275,62.18,59.7825,1585713600000,460605,2020-04-01 05:00:00
2020-04-02 05:00:00,165933972.0,60.3945,60.085,61.2325,61.2875,59.225,1585800000000,380294,2020-04-02 05:00:00
2020-04-03 05:00:00,129880068.0,60.4515,60.7,60.3525,61.425,59.7435,1585886400000,293699,2020-04-03 05:00:00
2020-04-06 05:00:00,201820284.0,64.0392,62.725,65.6175,65.7775,62.345,1586145600000,486681,2020-04-06 05:00:00
2020-04-07 05:00:00,202887324.0,66.1413,67.7,64.8575,67.925,64.75,1586232000000,467375,2020-04-07 05:00:00
2020-04-08 05:00:00,168895284.0,66.1893,65.685,66.5175,66.8425,65.3075,1586318400000,391246,2020-04-08 05:00:00
2020-04-09 05:00:00,162116492.0,66.8074,67.175,66.9975,67.5175,66.175,1586404800000,415870,2020-04-09 05:00:00
2020-04-13 05:00:00,131022924.0,67.3614,67.0775,68.3125,68.425,66.4575,1586750400000,343829,2020-04-13 05:00:00
2020-04-14 05:00:00,194994688.0,71.2864,70.0,71.7625,72.0625,69.5125,1586836800000,476983,2020-04-14 05:00:00
2020-04-15 05:00:00,131154564.0,70.9263,70.6,71.1075,71.5825,70.1575,1586923200000,312185,2020-04-15 05:00:00
2020-04-16 05:00:00,157125160.0,71.4464,71.845,71.6725,72.0494,70.5875,1587009600000,377056,2020-04-16 05:00:00
2020-04-17 05:00:00,215249912.0,70.404,71.1725,70.7,71.7363,69.215,1587096000000,571192,2020-04-17 05:00:00
2020-04-20 05:00:00,130015000.0,69.753,69.4875,69.2325,70.42,69.2125,1587355200000,357160,2020-04-20 05:00:00
2020-04-21 05:00:00,180991572.0,67.4343,69.07,67.0925,69.3125,66.3575,1587441600000,530768,2020-04-21 05:00:00
2020-04-22 05:00:00,117055368.0,68.7543,68.4025,69.025,69.475,68.05,1587528000000,287131,2020-04-22 05:00:00
2020-04-23 05:00:00,124801712.0,69.4705,68.9675,68.7575,70.4375,68.7175,1587614400000,318296,2020-04-23 05:00:00
2020-04-24 05:00:00,126508732.0,70.0964,69.3,70.7425,70.7525,69.25,1587700800000,306176,2020-04-24 05:00:00
2020-04-27 05:00:00,117087572.0,70.5883,70.45,70.7925,71.135,69.9875,1587960000000,300771,2020-04-27 05:00:00
2020-04-28 05:00:00,112004748.0,70.406,71.27,69.645,71.4575,69.55,1588046400000,285384,2020-04-28 05:00:00
